sample_id,path,label,source,split
train_00127_y1,training/data/mfad_net/processed/train/train_00127_y1,1,synthetic,train
train_00128_y0,training/data/mfad_net/processed/train/train_00128_y0,0,synthetic,train
train_00129_y1,training/data/mfad_net/processed/train/train_00129_y1,1,synthetic,train
train_00130_y0,training/data/mfad_net/processed/train/train_00130_y0,0,synthetic,train
train_00131_y1,training/data/mfad_net/processed/train/train_00131_y1,1,synthetic,train
train_00132_y0,training/data/mfad_net/processed/train/train_00132_y0,0,synthetic,train
train_00133_y1,training/data/mfad_net/processed/train/train_00133_y1,1,synthetic,train
train_00134_y0,training/data/mfad_net/processed/train/train_00134_y0,0,synthetic,train
train_00135_y1,training/data/mfad_net/processed/train/train_00135_y1,1,synthetic,train
train_00136_y0,training/data/mfad_net/processed/train/train_00136_y0,0,synthetic,train
train_00137_y1,training/data/mfad_net/processed/train/train_00137_y1,1,synthetic,train
train_00138_y0,training/data/mfad_net/processed/train/train_00138_y0,0,synthetic,train
train_00139_y1,training/data/mfad_net/processed/train/train_00139_y1,1,synthetic,train
train_00140_y0,training/data/mfad_net/processed/train/train_00140_y0,0,synthetic,train
train_00141_y1,training/data/mfad_net/processed/train/train_00141_y1,1,synthetic,train
train_00142_y0,training/data/mfad_net/processed/train/train_00142_y0,0,synthetic,train
train_00143_y1,training/data/mfad_net/processed/train/train_00143_y1,1,synthetic,train
train_00144_y0,training/data/mfad_net/processed/train/train_00144_y0,0,synthetic,train
train_00145_y1,training/data/mfad_net/processed/train/train_00145_y1,1,synthetic,train
train_00146_y0,training/data/mfad_net/processed/train/train_00146_y0,0,synthetic,train
train_00147_y1,training/data/mfad_net/processed/train/train_00147_y1,1,synthetic,train
train_00148_y0,training/data/mfad_net/processed/train/train_00148_y0,0,synthetic,train
train_00149_y1,training/data/mfad_net/processed/train/train_00149_y1,1,synthetic,train
train_00150_y0,training/data/mfad_net/processed/train/train_00150_y0,0,synthetic,train
train_00151_y1,training/data/mfad_net/processed/train/train_00151_y1,1,synthetic,train
train_00152_y0,training/data/mfad_net/processed/train/train_00152_y0,0,synthetic,train
train_00153_y1,training/data/mfad_net/processed/train/train_00153_y1,1,synthetic,train
train_00154_y0,training/data/mfad_net/processed/train/train_00154_y0,0,synthetic,train
train_00155_y1,training/data/mfad_net/processed/train/train_00155_y1,1,synthetic,train
train_00156_y0,training/data/mfad_net/processed/train/train_00156_y0,0,synthetic,train
train_00157_y1,training/data/mfad_net/processed/train/train_00157_y1,1,synthetic,train
train_00158_y0,training/data/mfad_net/processed/train/train_00158_y0,0,synthetic,train
train_00159_y1,training/data/mfad_net/processed/train/train_00159_y1,1,synthetic,train
train_00160_y0,training/data/mfad_net/processed/train/train_00160_y0,0,synthetic,train
train_00161_y1,training/data/mfad_net/processed/train/train_00161_y1,1,synthetic,train
train_00162_y0,training/data/mfad_net/processed/train/train_00162_y0,0,synthetic,train
train_00163_y1,training/data/mfad_net/processed/train/train_00163_y1,1,synthetic,train
train_00164_y0,training/data/mfad_net/processed/train/train_00164_y0,0,synthetic,train
train_00165_y1,training/data/mfad_net/processed/train/train_00165_y1,1,synthetic,train
train_00166_y0,training/data/mfad_net/processed/train/train_00166_y0,0,synthetic,train
train_00167_y1,training/data/mfad_net/processed/train/train_00167_y1,1,synthetic,train
train_00168_y0,training/data/mfad_net/processed/train/train_00168_y0,0,synthetic,train
train_00169_y1,training/data/mfad_net/processed/train/train_00169_y1,1,synthetic,train
train_00170_y0,training/data/mfad_net/processed/train/train_00170_y0,0,synthetic,train
train_00171_y1,training/data/mfad_net/processed/train/train_00171_y1,1,synthetic,train
train_00172_y0,training/data/mfad_net/processed/train/train_00172_y0,0,synthetic,train
train_00173_y1,training/data/mfad_net/processed/train/train_00173_y1,1,synthetic,train
train_00174_y0,training/data/mfad_net/processed/train/train_00174_y0,0,synthetic,train
train_00175_y1,training/data/mfad_net/processed/train/train_00175_y1,1,synthetic,train
train_00176_y0,training/data/mfad_net/processed/train/train_00176_y0,0,synthetic,train
train_00177_y1,training/data/mfad_net/processed/train/train_00177_y1,1,synthetic,train
train_00178_y0,training/data/mfad_net/processed/train/train_00178_y0,0,synthetic,train
train_00179_y1,training/data/mfad_net/processed/train/train_00179_y1,1,synthetic,train
train_00180_y0,training/data/mfad_net/processed/train/train_00180_y0,0,synthetic,train
train_00181_y1,training/data/mfad_net/processed/train/train_00181_y1,1,synthetic,train
train_00182_y0,training/data/mfad_net/processed/train/train_00182_y0,0,synthetic,train
train_00183_y1,training/data/mfad_net/processed/train/train_00183_y1,1,synthetic,train
train_00184_y0,training/data/mfad_net/processed/train/train_00184_y0,0,synthetic,train
train_00185_y1,training/data/mfad_net/processed/train/train_00185_y1,1,synthetic,train
train_00186_y0,training/data/mfad_net/processed/train/train_00186_y0,0,synthetic,train
train_00187_y1,training/data/mfad_net/processed/train/train_00187_y1,1,synthetic,train
train_00188_y0,training/data/mfad_net/processed/train/train_00188_y0,0,synthetic,train
train_00189_y1,training/data/mfad_net/processed/train/train_00189_y1,1,synthetic,train
train_00190_y0,training/data/mfad_net/processed/train/train_00190_y0,0,synthetic,train
train_00191_y1,training/data/mfad_net/processed/train/train_00191_y1,1,synthetic,train
train_00192_y0,training/data/mfad_net/processed/train/train_00192_y0,0,synthetic,train
train_00193_y1,training/data/mfad_net/processed/train/train_00193_y1,1,synthetic,train
train_00194_y0,training/data/mfad_net/processed/train/train_00194_y0,0,synthetic,train
train_00195_y1,training/data/mfad_net/processed/train/train_00195_y1,1,synthetic,train
train_00196_y0,training/data/mfad_net/processed/train/train_00196_y0,0,synthetic,train
train_00197_y1,training/data/mfad_net/processed/train/train_00197_y1,1,synthetic,train
train_00198_y0,training/data/mfad_net/processed/train/train_00198_y0,0,synthetic,train
train_00199_y1,training/data/mfad_net/processed/train/train_00199_y1,1,synthetic,train
train_00200_y0,training/data/mfad_net/processed/train/train_00200_y0,0,synthetic,train
train_00201_y1,training/data/mfad_net/processed/train/train_00201_y1,1,synthetic,train
train_00202_y0,training/data/mfad_net/processed/train/train_00202_y0,0,synthetic,train
train_00203_y1,training/data/mfad_net/processed/train/train_00203_y1,1,synthetic,train
train_00204_y0,training/data/mfad_net/processed/train/train_00204_y0,0,synthetic,train
train_00205_y1,training/data/mfad_net/processed/train/train_00205_y1,1,synthetic,train
train_00206_y0,training/data/mfad_net/processed/train/train_00206_y0,0,synthetic,train
train_00207_y1,training/data/mfad_net/processed/train/train_00207_y1,1,synthetic,train
train_00208_y0,training/data/mfad_net/processed/train/train_00208_y0,0,synthetic,train
train_00209_y1,training/data/mfad_net/processed/train/train_00209_y1,1,synthetic,train
train_00210_y0,training/data/mfad_net/processed/train/train_00210_y0,0,synthetic,train
train_00211_y1,training/data/mfad_net/processed/train/train_00211_y1,1,synthetic,train
train_00212_y0,training/data/mfad_net/processed/train/train_00212_y0,0,synthetic,train
train_00213_y1,training/data/mfad_net/processed/train/train_00213_y1,1,synthetic,train
train_00214_y0,training/data/mfad_net/processed/train/train_00214_y0,0,synthetic,train
train_00215_y1,training/data/mfad_net/processed/train/train_00215_y1,1,synthetic,train
train_00216_y0,training/data/mfad_net/processed/train/train_00216_y0,0,synthetic,train
train_00217_y1,training/data/mfad_net/processed/train/train_00217_y1,1,synthetic,train
train_00218_y0,training/data/mfad_net/processed/train/train_00218_y0,0,synthetic,train
train_00219_y1,training/data/mfad_net/processed/train/train_00219_y1,1,synthetic,train
train_00220_y0,training/data/mfad_net/processed/train/train_00220_y0,0,synthetic,train
train_00221_y1,training/data/mfad_net/processed/train/train_00221_y1,1,synthetic,train
train_00222_y0,training/data/mfad_net/processed/train/train_00222_y0,0,synthetic,train
train_00223_y1,training/data/mfad_net/processed/train/train_00223_y1,1,synthetic,train
train_00224_y0,training/data/mfad_net/processed/train/train_00224_y0,0,synthetic,train
train_00225_y1,training/data/mfad_net/processed/train/train_00225_y1,1,synthetic,train
train_00226_y0,training/data/mfad_net/processed/train/train_00226_y0,0,synthetic,train
train_00227_y1,training/data/mfad_net/processed/train/train_00227_y1,1,synthetic,train
train_00228_y0,training/data/mfad_net/processed/train/train_00228_y0,0,synthetic,train
train_00229_y1,training/data/mfad_net/processed/train/train_00229_y1,1,synthetic,train
train_00230_y0,training/data/mfad_net/processed/train/train_00230_y0,0,synthetic,train
train_00231_y1,training/data/mfad_net/processed/train/train_00231_y1,1,synthetic,train
train_00232_y0,training/data/mfad_net/processed/train/train_00232_y0,0,synthetic,train
train_00233_y1,training/data/mfad_net/processed/train/train_00233_y1,1,synthetic,train
train_00234_y0,training/data/mfad_net/processed/train/train_00234_y0,0,synthetic,train
train_00235_y1,training/data/mfad_net/processed/train/train_00235_y1,1,synthetic,train
train_00236_y0,training/data/mfad_net/processed/train/train_00236_y0,0,synthetic,train
train_00237_y1,training/data/mfad_net/processed/train/train_00237_y1,1,synthetic,train
train_00238_y0,training/data/mfad_net/processed/train/train_00238_y0,0,synthetic,train
train_00239_y1,training/data/mfad_net/processed/train/train_00239_y1,1,synthetic,train
train_00240_y0,training/data/mfad_net/processed/train/train_00240_y0,0,synthetic,train
train_00241_y1,training/data/mfad_net/processed/train/train_00241_y1,1,synthetic,train
train_00242_y0,training/data/mfad_net/processed/train/train_00242_y0,0,synthetic,train
train_00243_y1,training/data/mfad_net/processed/train/train_00243_y1,1,synthetic,train
train_00244_y0,training/data/mfad_net/processed/train/train_00244_y0,0,synthetic,train
train_00245_y1,training/data/mfad_net/processed/train/train_00245_y1,1,synthetic,train
train_00246_y0,training/data/mfad_net/processed/train/train_00246_y0,0,synthetic,train
train_00247_y1,training/data/mfad_net/processed/train/train_00247_y1,1,synthetic,train
train_00248_y0,training/data/mfad_net/processed/train/train_00248_y0,0,synthetic,train
train_00249_y1,training/data/mfad_net/processed/train/train_00249_y1,1,synthetic,train
train_00250_y0,training/data/mfad_net/processed/train/train_00250_y0,0,synthetic,train
train_00251_y1,training/data/mfad_net/processed/train/train_00251_y1,1,synthetic,train
train_00252_y0,training/data/mfad_net/processed/train/train_00252_y0,0,synthetic,train
train_00253_y1,training/data/mfad_net/processed/train/train_00253_y1,1,synthetic,train
train_00254_y0,training/data/mfad_net/processed/train/train_00254_y0,0,synthetic,train
train_00255_y1,training/data/mfad_net/processed/train/train_00255_y1,1,synthetic,train
